dataset,seed,fold,kappa,input_cmn,lambda_aff_spk_adv,lambda_orth,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,c_aff_rep_linear_mi_lb_bits,c_aff_rep_linear_control_bits,c_aff_rep_linear_entropy_bits,c_aff_rep_mlp_mi_lb_bits,c_aff_rep_mlp_control_bits,c_aff_rep_mlp_entropy_bits,c_style_rep_linear_mi_lb_bits,c_style_rep_linear_control_bits,c_style_rep_linear_entropy_bits,c_style_rep_mlp_mi_lb_bits,c_style_rep_mlp_control_bits,c_style_rep_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits,c_aff_probe_acc,c_aff_leakage_index
ravdess,42,2,2.0,False,0.7,0.1,27,161.1,0.353125,0.2946185727281105,0.34,0.5707507279405031,-0.0635784798264516,2.321928094887362,0.2750973645849592,-0.046561365603122,2.321928094887362,1.053685002872721,-0.0374487066103115,2.321928094887362,0.4898465946970667,-0.0460697589740344,2.321928094887362,1.7578962396117213,-0.6400199109779208,2.321928094887362,1.4683145038232663,-0.2269755339064549,2.321928094887362,0.4399999999999999,0.2999999999999999
ravdess,42,2,4.0,False,1.4,0.2,37,173.0,0.36875,0.3365568427494341,0.3633333333333333,0.5634645044741191,-0.0808176339412956,2.321928094887362,0.2063942561907596,-0.043762717337644,2.321928094887362,0.923088263647642,-0.0323369812203595,2.321928094887362,0.3221393833288393,-0.0315357935472322,2.321928094887362,1.8324179976502015,-0.7985347191729564,2.321928094887362,1.4498471234226322,-0.3988468811722039,2.321928094887362,0.4622222222222222,0.3277777777777777
ravdess,42,2,8.0,False,2.8,0.4,19,120.6,0.2125,0.1207319627298631,0.16,0.6717548880918898,-0.0451340285066494,2.321928094887362,0.3031488438139318,-0.070872874077974,2.321928094887362,0.9641054577258564,-0.0363576777508498,2.321928094887362,0.4900118774859527,-0.0536805663671722,2.321928094887362,1.705602446528355,-0.5542464906712139,2.321928094887362,1.4525358042867351,-0.3323227298246496,2.321928094887362,0.4222222222222221,0.2777777777777777
ravdess,42,2,16.0,False,5.6,0.8,11,86.3,0.14375,0.0651983987925411,0.1533333333333333,0.695934793591177,-0.0598476894116237,2.321928094887362,0.2801722666509656,-0.0502563143073619,2.321928094887362,0.8863572433501181,-0.0389829307071698,2.321928094887362,0.5232764940929315,-0.0498680071923489,2.321928094887362,1.7867217213119375,-0.4579369071300214,2.321928094887362,1.3469812983078715,-0.2771054855993342,2.321928094887362,0.3511111111111111,0.1888888888888888
ravdess,42,3,0.0,False,0.0,0.0,10,82.4,0.284375,0.2043357996167353,0.2866666666666667,0.2637623618702012,-0.0490795428747161,2.321928094887362,0.0659749172594823,-0.0364761845417791,2.321928094887362,0.655409421592996,-0.0771442248658527,2.321928094887362,0.4585672502821285,-0.0501354840407333,2.321928094887362,1.7049795723593073,-0.6434297837098786,2.321928094887362,1.09077046825285,-0.2935597740929996,2.321928094887362,0.3488888888888889,0.1861111111111111
ravdess,42,3,0.5,False,0.175,0.025,16,107.3,0.346875,0.2785523819054022,0.3433333333333333,0.1282752247125533,-0.0843652016911651,2.321928094887362,0.0245045270168682,-0.0293145824438467,2.321928094887362,0.8053087166318258,-0.0584541483391873,2.321928094887362,0.5742781321888095,-0.0604277087180245,2.321928094887362,1.7254823412950115,-0.8279325152588819,2.321928094887362,1.2696759857506132,-0.3847425845782597,2.321928094887362,0.3288888888888889,0.1611111111111111
ravdess,42,3,1.0,False,0.35,0.05,26,147.6,0.38125,0.3219588301901075,0.3866666666666666,0.2069217750379945,-0.075919132353885,2.321928094887362,0.0382429973693301,-0.0443454846033382,2.321928094887362,0.9479214687501376,-0.1028014088597246,2.321928094887362,0.6469816930990957,-0.0619565484422084,2.321928094887362,1.8035507250820615,-0.7853353167352028,2.321928094887362,1.4350338309930617,-0.2695196118290934,2.321928094887362,0.3044444444444444,0.1305555555555554
ravdess,42,3,2.0,False,0.7,0.1,38,164.8,0.3906249999999999,0.3334255477093121,0.3966666666666666,0.1842508441598558,-0.0761334499043524,2.321928094887362,-0.0204311578018301,-0.0418537955485347,2.321928094887362,0.9924537505202962,-0.0633195770090915,2.321928094887362,0.7337860460951611,-0.0239247785116503,2.321928094887362,1.9256665492220073,-1.050934705720767,2.321928094887362,1.376416865904864,-0.3259246272072307,2.321928094887362,0.34,0.175
ravdess,42,3,4.0,False,1.4,0.2,30,164.7,0.375,0.3353929016671012,0.3766666666666666,0.0799366807549821,-0.0994607936434515,2.321928094887362,0.0115842420127942,-0.052220586798958,2.321928094887362,0.9684092571145342,-0.0802853985773506,2.321928094887362,0.6735496304051365,-0.043924476568069,2.321928094887362,1.838311915524312,-0.9631068684401808,2.321928094887362,1.493374498210188,-0.4027796904512524,2.321928094887362,0.2977777777777778,0.1222222222222222
ravdess,42,3,8.0,False,2.8,0.4,20,124.6,0.28125,0.223653064196373,0.3,0.3083322510997708,-0.085665561497807,2.321928094887362,0.0262494830107771,-0.0216594493014659,2.321928094887362,0.529372122891669,-0.0497596909937789,2.321928094887362,0.2657740342099162,-0.0445182028793786,2.321928094887362,1.7542792781125196,-0.7208325918866008,2.321928094887362,1.1913399051741107,-0.302250849229928,2.321928094887362,0.2911111111111111,0.1138888888888889
ravdess,42,3,16.0,False,5.6,0.8,10,84.6,0.2,0.0842636895268474,0.2133333333333333,0.4359860682367793,-0.0416593632215209,2.321928094887362,0.1374066490074685,-0.0275757202518995,2.321928094887362,0.4937520362259284,-0.0403722500066376,2.321928094887362,0.2583492192072252,-0.0178645975458597,2.321928094887362,1.6851616999440466,-0.4707277499574087,2.321928094887362,0.9973785916126564,-0.3180526956101737,2.321928094887362,0.3333333333333333,0.1666666666666666
ravdess,42,4,0.0,False,0.0,0.0,31,163.5,0.4312499999999999,0.3882019930758525,0.4133333333333333,0.4020896283446362,-0.0477965087680476,2.321928094887362,0.1818026454420911,-0.0428244460613287,2.321928094887362,1.268639262369101,-0.0544087176445797,2.321928094887362,0.8343374155488767,-0.0336410495675436,2.321928094887362,2.081709323490119,-0.7981577145501508,2.321928094887362,1.6409503805598806,-0.2668942751152996,2.321928094887362,0.4088888888888888,0.261111111111111
ravdess,42,4,0.5,False,0.175,0.025,28,156.3,0.340625,0.2835035959763736,0.33,0.255977184657099,0.0050450036239171,2.321928094887362,0.0728355093895469,0.0103129393090997,2.321928094887362,1.2559335959566935,-0.0391146310766687,2.321928094887362,0.7017983257666713,-0.0454816189538807,2.321928094887362,2.054518894247917,-0.6913590738705193,2.321928094887362,1.7761098685204346,-0.2638328346245675,2.321928094887362,0.3288888888888889,0.1611111111111111
ravdess,42,4,1.0,False,0.35,0.05,18,119.2,0.328125,0.3077081504239538,0.32,0.5013083920269257,-0.0379646423984851,2.321928094887362,0.008427797022231,-0.0080241335420425,2.321928094887362,0.9805722116049048,-0.0323190993248401,2.321928094887362,0.5406661068749286,-0.0252936069914171,2.321928094887362,2.003916036378768,-0.5228161258825224,2.321928094887362,1.4930358027905617,-0.3027431312724395,2.321928094887362,0.3311111111111111,0.1638888888888889
ravdess,42,4,2.0,False,0.7,0.1,4,59.1,0.2249999999999999,0.1186023258048735,0.1766666666666666,0.312948631284172,-0.0429368750564331,2.321928094887362,0.0870842898197996,-0.0315707330333001,2.321928094887362,0.3005503960615363,-0.0297467657171193,2.321928094887362,0.0482341836135513,-0.0524526484157057,2.321928094887362,1.7958083600919157,-0.1654842427827199,2.321928094887362,1.0305054410645298,-0.179169975120911,2.321928094887362,0.3399999999999999,0.1749999999999999
