dataset,seed,fold,kappa,lambda_aff_spk_adv,lambda_orth,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,c_aff_rep_linear_mi_lb_bits,c_aff_rep_linear_control_bits,c_aff_rep_linear_entropy_bits,c_aff_rep_mlp_mi_lb_bits,c_aff_rep_mlp_control_bits,c_aff_rep_mlp_entropy_bits,c_style_rep_linear_mi_lb_bits,c_style_rep_linear_control_bits,c_style_rep_linear_entropy_bits,c_style_rep_mlp_mi_lb_bits,c_style_rep_mlp_control_bits,c_style_rep_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits,c_aff_probe_acc,c_aff_leakage_index
cremad,42,2,2.0,0.7,0.1,28,1227.3,0.5873354251261228,0.5787713987594003,0.5830508474576271,0.1740189204869904,-0.0503475729562978,4.169919344444184,0.1452414859887021,-0.0276890836993466,4.169919344444184,1.7704571104044184,-0.0497863915633596,4.169919344444184,1.629325136185921,-0.0607957113176338,4.169919344444184,2.759716833119369,-1.539822761714886,4.169919344444184,2.5026326374500245,-0.3008176875326143,4.169919344444184,0.1214446952595936,0.0697649714513344
cremad,42,2,4.0,1.4,0.2,20,975.7,0.5408545588778148,0.5163376273391374,0.5342372881355932,0.1647235526494004,-0.054254845888642,4.169919344444184,0.1683475583259523,-0.0376783818132651,4.169919344444184,1.3490285482541982,-0.0585694002451822,4.169919344444184,1.2547761455274968,-0.0603331451806292,4.169919344444184,2.767482882598886,-1.4383881180422249,4.169919344444184,2.5578874193299197,-0.2779846947652951,4.169919344444184,0.1047404063205417,0.0520780772805736
cremad,42,2,8.0,2.8,0.4,27,1180.7,0.5309339239571798,0.502237102060612,0.5240677966101694,0.2663069533658917,-0.0471028201851222,4.169919344444184,0.1999944672898288,-0.0424241606351385,4.169919344444184,1.6121307842787953,-0.0540562585909789,4.169919344444184,1.4535113499043182,-0.0501140080940354,4.169919344444184,2.7198779839739835,-1.4552165775278771,4.169919344444184,2.5002486360250016,-0.3033874878532536,4.169919344444184,0.1223476297968397,0.0707210197848891
cremad,42,2,16.0,5.6,0.8,14,754.3,0.4316475944382921,0.3380617090724609,0.4284745762711864,0.1643377572367592,-0.0465392424183912,4.169919344444184,0.0719434237678138,-0.0354727676089332,4.169919344444184,0.2709662041720735,-0.0335247657031807,4.169919344444184,0.1788854987688526,-0.0543444057489042,4.169919344444184,2.235001728422506,-1.0375451399741022,4.169919344444184,1.8585559143143509,-0.2308243554534952,4.169919344444184,0.0934537246049661,0.0401274731111406
cremad,42,3,0.0,0.0,0.0,37,1267.9,0.562984496124031,0.5587185501399666,0.5613559322033899,0.2361922787939492,-0.053768514847186,4.169919344444184,0.1486811052730052,-0.0284279476151194,4.169919344444184,2.1363113298731937,-0.0516942899905892,4.169919344444184,2.0051564419147794,-0.0476100208767071,4.169919344444184,2.988392263231231,-1.959457245725163,4.169919344444184,2.962974370955128,-0.2552051010524359,4.169919344444184,0.128216704288939,0.0769353339529942
cremad,42,3,0.5,0.175,0.025,39,1270.3,0.5516057585825028,0.5508217075117917,0.5505084745762712,0.27134227595658,-0.0474683970036782,4.169919344444184,0.129274815191251,-0.035936532924075,4.169919344444184,1.8827478803649491,-0.0574209603083009,4.169919344444184,1.8447808324226544,-0.0328066163969449,4.169919344444184,2.8658221548870184,-1.811053223172588,4.169919344444184,2.8083526626596154,-0.320957275558821,4.169919344444184,0.1255079006772009,0.0740671889523303
cremad,42,3,1.0,0.35,0.05,39,1269.9,0.5739294942783314,0.5696805775046002,0.5715254237288135,0.2284788253669689,-0.0492824364001958,4.169919344444184,0.2094554679143021,-0.0328110357050652,4.169919344444184,1.7007295139287075,-0.0591017444556865,4.169919344444184,1.5020781135738357,-0.060075150706373,4.169919344444184,2.808921748103499,-1.781004656834198,4.169919344444184,2.569029416167592,-0.280564300030754,4.169919344444184,0.1223476297968397,0.0707210197848891
cremad,42,3,2.0,0.7,0.1,29,1238.6,0.5466777408637874,0.5393245074858865,0.5444067796610169,0.3379704757747594,-0.0438095600397225,4.169919344444184,0.2601587788137176,-0.0366955163028315,4.169919344444184,1.8613799848917312,-0.0527888566045966,4.169919344444184,1.7210825389796525,-0.0493203894743636,4.169919344444184,2.744494013730524,-1.4510438473865497,4.169919344444184,2.6494212520183464,-0.2428800536524278,4.169919344444184,0.1386004514672686,0.0879298897888726
cremad,42,3,4.0,1.4,0.2,4,453.3,0.3897532914974775,0.314641275655612,0.3857627118644068,0.2000746549094301,-0.0271286552720519,4.169919344444184,0.0973849933292587,-0.0226122343719215,4.169919344444184,0.3051085792789392,-0.036234403864622,4.169919344444184,0.2375592538302862,-0.0256414852321036,4.169919344444184,1.94704832902994,-0.5116555717695128,4.169919344444184,1.4321500741220707,-0.1639214263419512,4.169919344444184,0.109255079006772,0.0568583189483468
cremad,42,3,8.0,2.8,0.4,38,1274.3,0.469139904023625,0.4418087512708283,0.4664406779661016,0.1680631804454391,-0.0343555631800329,4.169919344444184,0.1276251561242896,-0.0387203698094209,4.169919344444184,1.147807851798131,-0.050575103511572,4.169919344444184,1.0563201932535915,-0.054472273722979,4.169919344444184,2.102438289923898,-1.469662280845161,4.169919344444184,2.110917450888698,-0.3033725841885619,4.169919344444184,0.0988713318284424,0.0458637631124684
cremad,42,3,16.0,5.6,0.8,4,454.3,0.3892549526270457,0.3073199009727619,0.3871186440677966,0.1539887110769608,-0.0244520603575999,4.169919344444184,0.0734733031165459,-0.0275732770991892,4.169919344444184,0.266349927599856,-0.0334724694980881,4.169919344444184,0.154652896769087,-0.0346108116197649,4.169919344444184,1.9898539597205032,-0.5049971860699678,4.169919344444184,1.479733447223984,-0.1652321634360216,4.169919344444184,0.1011286681715575,0.048253883946355
cremad,42,4,0.0,0.0,0.0,34,1262.6,0.6164353714132474,0.6131282440147939,0.6119016817593791,0.2101868140601288,-0.0339653689329555,4.247550686408009,0.2802130394115454,-0.0250262982333664,4.247550686408009,2.3039080557760307,-0.059522794034116,4.247550686408009,2.255266667407281,-0.0508874030609236,4.247550686408009,3.065997404087836,-1.8570785565244652,4.247550686408009,2.9975698982338246,-0.2764296678305928,4.247550686408009,0.0918103448275862,0.0413553639846743
cremad,42,4,0.5,0.175,0.025,32,1261.9,0.6188712344685796,0.6118400272100998,0.61254851228978,0.1525726553927295,-0.0491501338187649,4.247550686408009,0.1292377003100728,-0.0291701996064555,4.247550686408009,2.0574298702190283,-0.0625499861841412,4.247550686408009,1.962826324587637,-0.0555403492831727,4.247550686408009,2.8848079069203023,-1.7394764402424483,4.247550686408009,2.8718534426646976,-0.3033389627918215,4.247550686408009,0.1021551724137931,0.0522749042145593
cremad,42,4,1.0,0.35,0.05,37,1261.9,0.5948478144274604,0.5932105491772514,0.591849935316947,0.2195198376403819,-0.0405490428819828,4.247550686408009,0.2672593115566433,-0.019967036662444,4.247550686408009,2.288634276123231,-0.067845243730173,4.247550686408009,2.1052445461074725,-0.0401679028470729,4.247550686408009,2.991562094099619,-1.6470905706818684,4.247550686408009,2.901722283005541,-0.3883796615702914,4.247550686408009,0.1133620689655172,0.0641044061302682
cremad,42,4,2.0,0.7,0.1,40,1260.4,0.6082227138643069,0.6033897661342719,0.6041397153945667,0.2284676791128772,-0.0424877223649078,4.247550686408009,0.2807781324825531,-0.0314132166153902,4.247550686408009,2.0738074470494468,-0.0527936499588559,4.247550686408009,2.0297970552782627,-0.0448837348922301,4.247550686408009,2.9720044202314035,-1.7775675306237328,4.247550686408009,2.829207641235815,-0.4123748664617004,4.247550686408009,0.1133620689655172,0.0641044061302681
cremad,42,4,4.0,1.4,0.2,36,1259.7,0.5610753553231428,0.5537543790766044,0.556921086675291,0.2334171660840045,-0.0416683149990397,4.247550686408009,0.218609883927721,-0.0425526385039303,4.247550686408009,1.988291110190236,-0.0575415033793467,4.247550686408009,1.8733998843985251,-0.0426959249983687,4.247550686408009,2.847219481326615,-1.6772999237435895,4.247550686408009,2.8209062309262793,-0.2608076865473476,4.247550686408009,0.1,0.05
cremad,42,4,8.0,2.8,0.4,30,1262.5,0.5196042281219272,0.5104635129384123,0.5161707632600259,0.1926328701066326,-0.0442388524020112,4.247550686408009,0.1320493368499109,-0.0409730925048652,4.247550686408009,1.6939052281728375,-0.0460244771489737,4.247550686408009,1.5698316751045258,-0.0297981520591124,4.247550686408009,2.588971417206449,-1.5129348111407772,4.247550686408009,2.4268849565136916,-0.2855460177203293,4.247550686408009,0.0969827586206896,0.0468151340996168
