dataset,seed,fold,kappa,lambda_aff_spk_adv,lambda_orth,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,c_aff_rep_linear_mi_lb_bits,c_aff_rep_linear_control_bits,c_aff_rep_linear_entropy_bits,c_aff_rep_mlp_mi_lb_bits,c_aff_rep_mlp_control_bits,c_aff_rep_mlp_entropy_bits,c_style_rep_linear_mi_lb_bits,c_style_rep_linear_control_bits,c_style_rep_linear_entropy_bits,c_style_rep_mlp_mi_lb_bits,c_style_rep_mlp_control_bits,c_style_rep_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits,c_aff_probe_acc,c_aff_leakage_index,input_cmn
iemocap,42,2,2.0,0.7,0.1,21,473.0,0.4798046539152961,0.4516542239170811,0.4514134275618374,0.0563188765923856,-0.0086592506952044,0.9910444329385492,0.0524318068367549,-0.0183224301141581,0.9910444329385492,0.0512892782971373,-0.0022172377407665,0.9910444329385492,0.0463125120334569,-0.0168951094701373,0.9910444329385492,0.4511364707196721,-0.1394921802069951,0.9910444329385492,0.3472540255497314,-0.0897597710987899,0.9910444329385492,0.6082352941176471,0.2164705882352942,
iemocap,42,2,4.0,1.4,0.2,21,466.6,0.4996840982165267,0.4807659260896202,0.4823321554770318,0.0472391795480051,-0.0049701789332694,0.9910444329385492,0.0445675660571448,-0.0083390010706739,0.9910444329385492,0.0378969982713096,0.0005133286938735,0.9910444329385492,0.0284489357004509,-0.0024989180718681,0.9910444329385492,0.4142750776089018,-0.1464100699144966,0.9910444329385492,0.3448254623469633,-0.0591140868208112,0.9910444329385492,0.5941176470588236,0.1882352941176472,
iemocap,42,2,8.0,2.8,0.4,9,289.9,0.5056295716158937,0.4996949354442558,0.4973498233215547,0.0343011386841514,-0.0035129417669316,0.9910444329385492,0.0246894600230906,-0.0084704882570992,0.9910444329385492,0.1198051910330624,-0.0045186625627891,0.9910444329385492,0.0862170998915542,-0.0084557923321072,0.9910444329385492,0.3221608432393142,-0.0637951545985636,0.9910444329385492,0.2357238795079766,-0.0458432598273955,0.9910444329385492,0.5664705882352942,0.1329411764705883,
iemocap,42,2,16.0,5.6,0.8,21,465.7,0.4916377750979801,0.4595933971504375,0.4637809187279152,0.0255514846295388,-0.004728024919768,0.9910444329385492,0.018094165491598,-0.011698929804781,0.9910444329385492,0.0133947356250425,-0.0035240179808025,0.9910444329385492,0.0050791225108384,-0.0070298729918676,0.9910444329385492,0.455860634710563,-0.1055672897420038,0.9910444329385492,0.2687898320751362,-0.0744267434000741,0.9910444329385492,0.6047058823529412,0.2094117647058824,
iemocap,42,3,0.0,0.0,0.0,7,256.6,0.508708660726944,0.5006743644949463,0.5431654676258992,0.0878677059274632,-0.0046810975567876,0.9973008701007468,0.061740634646029,-0.0074714794049346,0.9973008701007468,0.0830203405160813,-0.0033624432341745,0.9973008701007468,0.0609409880459482,-0.0114674430188548,0.9973008701007468,0.4906270737253922,-0.0974670456296276,0.9973008701007468,0.2637137094923505,-0.0770237413090282,0.9973008701007468,0.6341317365269461,0.2682634730538922,
iemocap,42,3,0.5,0.175,0.025,7,262.3,0.5111681498109706,0.5054125138557548,0.5359712230215827,0.0952373763758301,-0.0067876318405819,0.9973008701007468,0.0729342315394175,-0.0105288645110037,0.9973008701007468,0.0916150337135337,-0.0063924489533984,0.9973008701007468,0.0602142981024712,-0.008135209671066,0.9973008701007468,0.4996278127149168,-0.0868940604833434,0.9973008701007468,0.2860176284897369,-0.0793800527836221,0.9973008701007468,0.6419161676646707,0.2838323353293415,
iemocap,42,3,1.0,0.35,0.05,7,261.9,0.4906110325069869,0.4754553910423299,0.5242805755395683,0.0626416911171715,-0.0047129885826993,0.9973008701007468,0.0545924045570328,-0.0098494687083696,0.9973008701007468,0.0686011610293378,-0.0041075933950394,0.9973008701007468,0.0396117125403525,-0.0026113272073297,0.9973008701007468,0.4718095593341721,-0.0743359688332059,0.9973008701007468,0.2020372698775836,-0.0856470994075542,0.9973008701007468,0.62874251497006,0.2574850299401199,
iemocap,42,3,2.0,0.7,0.1,16,395.6,0.4649864332109197,0.4790225387219108,0.4865107913669064,0.0754642043468633,-0.0126301119486562,0.9973008701007468,0.0501359571766599,-0.0104768376364046,0.9973008701007468,0.0701065436738754,-0.0008189590663383,0.9973008701007468,0.045645594318371,-0.0075133939039415,0.9973008701007468,0.643074458083988,-0.131985807322994,0.9973008701007468,0.4621863972865104,-0.1100622896267002,0.9973008701007468,0.6101796407185629,0.2203592814371258,
iemocap,42,3,4.0,1.4,0.2,7,254.5,0.491256573054268,0.49617882036569,0.5,0.0734329567623477,-0.0042735326075518,0.9973008701007468,0.0631670525439686,-0.0048924158667855,0.9973008701007468,0.2032638671563191,-0.0028718372210558,0.9973008701007468,0.1652047147123696,-0.0042049547779612,0.9973008701007468,0.4795687268463767,-0.0630573251293755,0.9973008701007468,0.2816364890361786,-0.1219362944795614,0.9973008701007468,0.6047904191616766,0.2095808383233532,
iemocap,42,3,8.0,2.8,0.4,6,241.1,0.4704945626583473,0.4648862043479015,0.4775179856115107,0.0924875421207037,-0.0030737822231983,0.9973008701007468,0.0634014682543464,-0.0012569195166738,0.9973008701007468,0.14012194167831,-0.0009653090826874,0.9973008701007468,0.1303884927082171,-0.0104112155723392,0.9973008701007468,0.5254079135189332,-0.0688738307933987,0.9973008701007468,0.3431739253007446,-0.0436661962750715,0.9973008701007468,0.6065868263473053,0.2131736526946106,
iemocap,42,3,16.0,5.6,0.8,17,405.2,0.4209482992120517,0.3947377770548502,0.4559352517985611,0.0923560048045287,-0.0036143042281815,0.9973008701007468,0.0741812679439641,-0.0056317388300528,0.9973008701007468,0.1915508774360543,-0.0058729225902756,0.9973008701007468,0.133858024102176,-0.0096666018843238,0.9973008701007468,0.5875370268114186,-0.1073686855735414,0.9973008701007468,0.41855586383024,-0.057596721992992,0.9973008701007468,0.6197604790419161,0.2395209580838322,
iemocap,42,4,0.0,0.0,0.0,38,562.9,0.5690070646826302,0.5336623822414885,0.535483870967742,0.1219084737863137,-0.002795686906524,0.9994846138022,0.1052831013357594,-0.0011642057834683,0.9994846138022,0.5842269443294799,-0.0009309920483798,0.9994846138022,0.4714640214003459,-0.0033480522684937,0.9994846138022,0.6888813410949814,-0.1691070986362427,0.9994846138022,0.6716335505328602,-0.0927043963658161,0.9994846138022,0.6245398773006136,0.2490797546012271,
iemocap,42,4,0.5,0.175,0.025,40,594.0,0.5815010161827321,0.5518948336285512,0.5539170506912442,0.0278643581970455,-0.0031827630912885,0.9994846138022,0.0670242910944691,-0.0045843609877521,0.9994846138022,0.5956009974528003,-0.0017040454257425,0.9994846138022,0.3691851422633301,-0.0055017179149251,0.9994846138022,0.637720244258739,-0.1452107429241124,0.9994846138022,0.6154399259590078,-0.0731448661447174,0.9994846138022,0.5588957055214723,0.1177914110429445,
iemocap,42,4,1.0,0.35,0.05,37,589.9,0.5874200245327531,0.5600682220125361,0.5612903225806452,0.0317093995569573,-0.0026119780921792,0.9994846138022,0.0693435443189531,-0.0013260966341185,0.9994846138022,0.5881760430397671,-0.004036720871997,0.9994846138022,0.3376312217026159,-0.003185078995643,0.9994846138022,0.6419479694711596,-0.1670399051169001,0.9994846138022,0.6119130511466819,-0.0741475082020627,0.9994846138022,0.596319018404908,0.1926380368098159,
iemocap,42,4,2.0,0.7,0.1,9,279.7,0.5472233069237222,0.4896958372207751,0.4958525345622119,0.0290542843866316,-0.0054419331446032,0.9994846138022,0.0377037929901611,-0.003006538779828,0.9994846138022,0.4508199784914584,0.0005894691714274,0.9994846138022,0.2799835555441821,0.0032176700119724,0.9994846138022,0.6536196499531592,-0.0900908928581815,0.9994846138022,0.5515923839688606,-0.0535049005503892,0.9994846138022,0.5564417177914109,0.1128834355828218,
iemocap,42,4,4.0,1.4,0.2,12,333.5,0.5377277666089115,0.4923753431326457,0.5013824884792627,0.0742417765026185,-0.0043391571431034,0.9994846138022,0.0399089855162011,-0.0023397638510435,0.9994846138022,0.3112580245312886,-0.0015612327304116,0.9994846138022,0.2240545366399836,-0.0007900578719844,0.9994846138022,0.6454731026501479,-0.0952585769116721,0.9994846138022,0.5325395698433231,-0.0563051303428928,0.9994846138022,0.6104294478527608,0.2208588957055215,
iemocap,42,4,8.0,2.8,0.4,18,416.6,0.503223385254341,0.4507389564747012,0.4525345622119816,0.0606208380726529,-0.0028269077166139,0.9994846138022,0.110363893624629,-0.001193634064822,0.9994846138022,0.506353024860787,-0.002768249727265,0.9994846138022,0.2489242878169028,-0.0010308237877157,0.9994846138022,0.6421550427486371,-0.0878285609950461,0.9994846138022,0.5789479769438884,-0.0560687736075159,0.9994846138022,0.5337423312883436,0.0674846625766871,
iemocap,42,4,16.0,5.6,0.8,39,600.6,0.5174742919334455,0.4687531247624282,0.4746543778801843,-0.000581252882546,-0.0051640050814935,0.9994846138022,0.019822886349446,-0.0036037676608441,0.9994846138022,0.6028002440314806,0.0002971640508355,0.9994846138022,0.2986561525241682,0.0006309168996129,0.9994846138022,0.6716452800912774,-0.0963430676099416,0.9994846138022,0.6094547258978167,-0.0702073495260861,0.9994846138022,0.5141104294478528,0.0282208588957055,
iemocap,42,5,0.0,0.0,0.0,31,582.2,0.5642978464051172,0.5602591342553358,0.5485981308411215,0.3075457367401684,-0.004830055792128,0.9998765061155545,0.3008035557996127,-0.0074188545840195,0.9998765061155545,0.8969298282489927,-0.0064496997263495,0.9998765061155545,0.5568209398912045,-0.0053499577890349,0.9998765061155545,0.95266413273549,-0.1734467554696884,0.9998765061155545,0.8894388613085268,-0.0584302010832947,0.9998765061155545,0.7607476635514018,0.5214953271028036,
iemocap,42,5,0.5,0.175,0.025,36,606.7,0.5847974340153154,0.5689575926864661,0.5579439252336449,0.2103518494303075,-0.0056802374651742,0.9998765061155545,0.2729681473752643,-0.0039665693153602,0.9998765061155545,0.8594079021545169,-0.0007954988564579,0.9998765061155545,0.5810988734386824,-0.0011702224841486,0.9998765061155545,0.9374299570308048,-0.1481785605202902,0.9998765061155545,0.9138634583724614,-0.0375904604625522,0.9998765061155545,0.7059190031152648,0.4118380062305296,
iemocap,42,5,1.0,0.35,0.05,39,615.2,0.5700470889594305,0.5534870746822784,0.5439252336448598,0.1908800420290236,-0.0033381849094481,0.9998765061155545,0.2088422559041642,-0.0078848689107521,0.9998765061155545,0.873164469119504,-0.0077144337635702,0.9998765061155545,0.75869899430254,-0.0088529326846001,0.9998765061155545,0.9093278631469168,-0.1241997572113026,0.9998765061155545,0.8981510186240772,-0.0760149228523056,0.9998765061155545,0.6897196261682242,0.3794392523364485,
