pos,seed,fold,tau2,within,protocol,draw,k,lam,lam_star,is_lam_star,test_uar,test_acc,n_rows,leak_bits,control_bits,leak_mlp_bits,control_mlp_bits,dataset
4,53,4,21.2409,130.9143,fixed,1,2,0.3,0.245,0,0.5480229496992384,0.5046040515653776,543,0.03296978588339272,-0.010229693509849369,,,iemocap
4,53,4,21.2409,130.9143,fixed,1,2,0.5,0.245,0,0.5566216930639876,0.5174953959484346,543,0.06491982188447265,-0.009152208609737755,,,iemocap
4,53,4,21.2409,130.9143,fixed,1,2,0.7,0.245,0,0.5542211219955393,0.5174953959484346,543,0.13229863958113153,-0.008620781813765355,,,iemocap
4,53,4,21.2409,130.9143,fixed,1,2,1.0,0.245,0,0.5501246231306386,0.5174953959484346,543,0.3010938579826461,-0.00841283729317066,,,iemocap
4,53,4,21.2409,130.9143,fixed,1,5,0.4479,0.4479,1,0.5619135847934583,0.5230202578268877,543,0.029645829561459447,-0.010442107622089747,,,iemocap
4,53,4,21.2409,130.9143,fixed,1,5,0.0,0.4479,0,0.5559231153041125,0.5101289134438306,543,0.03042470827018451,-0.011616659111758132,,,iemocap
4,53,4,21.2409,130.9143,fixed,1,5,0.1,0.4479,0,0.5582419441947042,0.5138121546961326,543,0.02891770125714921,-0.011411889726588687,,,iemocap
4,53,4,21.2409,130.9143,fixed,1,5,0.2,0.4479,0,0.5587359555670476,0.5156537753222836,543,0.027973989554988865,-0.011179815711113372,,,iemocap
4,53,4,21.2409,130.9143,fixed,1,5,0.3,0.4479,0,0.5563887229150053,0.5156537753222836,543,0.027809167042140093,-0.010874222797207622,,,iemocap
4,53,4,21.2409,130.9143,fixed,1,5,0.5,0.4479,0,0.5608438198709147,0.5230202578268877,543,0.030904969967294638,-0.010304464725389595,,,iemocap
4,53,4,21.2409,130.9143,fixed,1,5,0.7,0.4479,0,0.5714750835608672,0.5377532228360957,543,0.039157790175690765,-0.009880430584839006,,,iemocap
4,53,4,21.2409,130.9143,fixed,1,5,1.0,0.4479,0,0.5733470486230545,0.5451197053406999,543,0.06431091552407764,-0.009719189083190916,,,iemocap
4,53,4,21.2409,130.9143,fixed,1,10,0.6187,0.6187,1,0.5466668762113064,0.5027624309392266,543,0.05322060642571602,-0.010001308086720506,,,iemocap
4,53,4,21.2409,130.9143,fixed,1,10,0.0,0.6187,0,0.5559231153041125,0.5101289134438306,543,0.03042470827018451,-0.011616659111758132,,,iemocap
4,53,4,21.2409,130.9143,fixed,1,10,0.1,0.6187,0,0.550448662749368,0.5046040515653776,543,0.031234013472051014,-0.011364372623291485,,,iemocap
4,53,4,21.2409,130.9143,fixed,1,10,0.2,0.6187,0,0.5513862761703464,0.5064456721915286,543,0.03313733193553825,-0.011080998941155107,,,iemocap
4,53,4,21.2409,130.9143,fixed,1,10,0.3,0.6187,0,0.5532110936885946,0.5082872928176796,543,0.03607178260074373,-0.010869894429618832,,,iemocap
4,53,4,21.2409,130.9143,fixed,1,10,0.5,0.6187,0,0.5434608432234449,0.4990791896869245,543,0.045458925245046355,-0.010326182342219381,,,iemocap
4,53,4,21.2409,130.9143,fixed,1,10,0.7,0.6187,0,0.547629631613966,0.5046040515653776,543,0.059502688926685754,-0.00977051052515443,,,iemocap
4,53,4,21.2409,130.9143,fixed,1,10,1.0,0.6187,0,0.5529719326671454,0.5119705340699816,543,0.08813441080729856,-0.009046453184806236,,,iemocap
4,53,4,21.2409,130.9143,fixed,1,-1,0.9778,0.9778,1,0.5653555170229996,0.5267034990791897,543,0.01662476441385441,-0.009829544901234444,0.02584662942832383,-0.012290669123943276,iemocap
4,53,4,21.2409,130.9143,fixed,1,-1,1.0,0.9778,0,0.5667367324926129,0.5285451197053407,543,0.016759646277891505,-0.009766223985926192,0.02508330621596,-0.012335010871721952,iemocap
4,53,4,21.2409,130.9143,resampled,1,1,0.1396,0.1396,1,0.5520657774606611,0.5064456721915286,543,0.025583829994398788,-0.009358593347839728,,,iemocap
