dataset,variant,seed,fold,best_epoch,train_seconds,test_uar,test_macro_f1,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits
cremad,leace_trainfit,42,2,40,96.2,0.46263996554694226,0.46033016741855776,-0.13533085871867545,-1.2784636347902003,4.1699193444441836
cremad,leace_trainfit,42,3,33,94.7,0.3675064599483204,0.36348613311083827,-0.09604638894090911,-1.206463112017735,4.1699193444441836
cremad,leace_trainfit,42,4,31,93.0,0.430650531867346,0.43802150041202864,-0.1498629818579671,-1.268004878696578,4.247550686408009
cremad,leace_trainfit,42,5,37,75.9,0.43121467617900494,0.424058183878178,0.08042726964203517,-1.3427281127015895,4.169716095873848
cremad,leace_trainfit,43,1,32,95.6,0.4619708994708995,0.46171204028126583,-0.16225191535169436,-1.2193075949473329,4.169925001442313
cremad,leace_trainfit,43,2,39,85.6,0.457056724498585,0.45305658329262766,-0.2971660431052934,-1.2846223241073433,4.1699193444441836
cremad,leace_trainfit,43,3,38,90.1,0.4362187769164514,0.4326826601246845,0.02954936519496787,-1.2510097178716233,4.1699193444441836
cremad,leace_trainfit,43,4,28,62.6,0.42886832931080726,0.42923396930581675,-0.15823335530988558,-1.4342237973564531,4.247550686408009
cremad,leace_trainfit,43,5,38,89.4,0.4275487198492851,0.4258557624549079,-0.03210301751012956,-1.3438799238505261,4.169716095873848
cremad,leace_trainfit,44,1,27,88.0,0.4226190476190476,0.42575479953831014,-0.10817457765715854,-1.22952276213348,4.169925001442313
cremad,leace_trainfit,44,2,31,84.3,0.4806601451950289,0.47725381793876526,-0.1987497906628226,-1.463123633120147,4.1699193444441836
cremad,leace_trainfit,44,3,24,82.2,0.42730097206841394,0.42341623252115634,-0.1107695339057635,-1.1865955712899101,4.1699193444441836
cremad,leace_trainfit,44,4,22,67.3,0.49413940287834085,0.48569467749502454,-0.19613855054366436,-1.290351663587301,4.247550686408009
cremad,leace_trainfit,44,5,29,83.1,0.4565551746502363,0.45034929747241365,0.3203505439763399,-1.1703112867917946,4.169716095873848
cremad,leace_trans,42,1,31,78.9,0.548941798941799,0.5453596420350281,1.0572495230000563,-1.5653326167429116,4.169925001442313
