dataset,variant,seed,fold,best_epoch,train_seconds,test_uar,test_macro_f1,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits
iemocap,leace_trainfit,44,3,26,79.6,0.47900371053263147,0.48149570786035917,0.11959885810967463,-0.20100100535932874,0.9973008701007469
iemocap,leace_trainfit,44,4,32,68.9,0.5468718101645277,0.5167686471855283,0.28236218535976454,-0.18994239941150226,0.9994846138022001
iemocap,leace_trainfit,44,5,25,70.5,0.5881148424051369,0.5615027457757953,0.48859840337381544,-0.16965480228612162,0.9998765061155545
iemocap,leace_trans,42,1,9,7.3,0.5486283108220739,0.49833512246856837,0.4792363674087431,-0.16118331271769404,0.9836697149306288
iemocap,leace_trans,42,2,24,21.3,0.5566543575597723,0.549469325350483,0.1282760907087459,-0.153818718746756,0.9910444329385492
iemocap,leace_trans,42,3,9,6.4,0.5275495690991141,0.5061321455781316,0.2963123227635702,-0.13088013140861277,0.9973008701007469
iemocap,leace_trans,42,4,15,35.1,0.6011988560150169,0.55128008504664,0.19084676659523236,-0.11131109386774074,0.9994846138022001
iemocap,leace_trans,42,5,18,45.8,0.510778094041885,0.4881618963546749,0.3768563954805245,-0.2781169479192346,0.9998765061155545
iemocap,leace_trans,43,1,18,51.8,0.5743988774099215,0.5609885764812982,0.3340249578357558,-0.20231578555619745,0.9836697149306288
iemocap,leace_trans,43,2,11,47.9,0.5355514242008061,0.5215302854154729,0.12469185521779202,-0.11357324311029748,0.9910444329385492
iemocap,leace_trans,43,3,22,74.2,0.5547601560400774,0.5517742791708693,0.20041868168831078,-0.11661723050386441,0.9973008701007469
iemocap,leace_trans,43,4,15,56.2,0.591410779870004,0.5497305222415668,0.22279940381313812,-0.16912465715837743,0.9994846138022001
iemocap,leace_trans,43,5,10,61.0,0.5297287900062475,0.4869628143520722,0.39691738672658405,-0.13101532427515739,0.9998765061155545
iemocap,leace_trans,44,1,12,62.3,0.5716184644910358,0.5360941676007134,0.4292555348702217,-0.1263773046641945,0.9836697149306288
iemocap,leace_trans,44,2,18,62.3,0.5465710119683066,0.5329267463660159,0.09794161399579338,-0.12276635921229195,0.9910444329385492
iemocap,leace_trans,44,3,26,78.2,0.5481816965619729,0.5240918326337279,0.18000684794750255,-0.19867244525534677,0.9973008701007469
iemocap,leace_trans,44,4,32,67.7,0.6050603142137395,0.5824612369491684,0.26442278226683613,-0.17993201663311809,0.9994846138022001
iemocap,leace_trans,44,5,25,69.3,0.5127349111504705,0.483818274847634,0.5435463427940942,-0.17500646372733175,0.9998765061155545
iemocap,plain,42,1,9,7.1,0.5308199515986329,0.48623660863208357,0.444998799683626,-0.15768302702014791,0.9836697149306288
iemocap,plain,42,2,24,19.4,0.5529019975658505,0.5357208547504444,0.151250371044775,-0.15250571168598281,0.9910444329385492
iemocap,plain,42,3,9,6.2,0.535435104022518,0.5137693444926188,0.256148001147103,-0.12841047079990853,0.9973008701007469
iemocap,plain,42,4,15,33.1,0.6062179653477056,0.560121656841203,0.17801099240012608,-0.10873640017203157,0.9994846138022001
iemocap,plain,42,5,18,44.3,0.5770486417554574,0.5536979494930651,0.3721179294342446,-0.26173292933590997,0.9998765061155545
iemocap,plain,43,1,18,50.3,0.580354314893718,0.5610608635438846,0.35441769200013806,-0.19409977905631948,0.9836697149306288
iemocap,plain,43,2,11,45.1,0.553859916003878,0.5303019665532158,0.1423778133117618,-0.11494906284646766,0.9910444329385492
iemocap,plain,43,3,22,71.0,0.5912347140314274,0.5875328162199855,0.1999588720579366,-0.11222332443037009,0.9973008701007469
iemocap,plain,43,4,15,52.9,0.5858164450269119,0.5401477518681007,0.21535301999925704,-0.16463779407444157,0.9994846138022001
iemocap,plain,43,5,10,58.2,0.5997667692574943,0.5557240545762295,0.43678814897317886,-0.11605213104119139,0.9998765061155545
iemocap,plain,44,1,12,59.0,0.5650717243416025,0.5219903516749388,0.4363236758503344,-0.11744358821045164,0.9836697149306288
iemocap,plain,44,2,18,59.2,0.5572987287467043,0.5355026665330364,0.18155849778385091,-0.12039054940044014,0.9910444329385492
iemocap,plain,44,3,26,75.9,0.5526239703555077,0.5311664828194169,0.1892811337088226,-0.1964727519558529,0.9973008701007469
iemocap,plain,44,4,32,66.0,0.6027906760599714,0.5752274051192949,0.26526607265332314,-0.1727646558018202,0.9994846138022001
iemocap,plain,44,5,25,66.7,0.5780524632952645,0.5493345540878385,0.4892887667956032,-0.16670146906718253,0.9998765061155545
iemocap,subtract,42,1,9,7.2,0.5551017337940924,0.4900796425674667,0.027921366112226842,-0.1979227143945148,0.9836697149306288
iemocap,subtract,42,2,24,20.4,0.5618685301940863,0.5356340032638622,-0.03974637851807061,-0.17187078895512153,0.9910444329385492
iemocap,subtract,42,3,9,6.3,0.5521102016835612,0.5134040806061446,-0.2316629879383063,-0.13120643682657795,0.9973008701007469
iemocap,subtract,42,4,15,34.1,0.5956627105773851,0.5597863271034602,0.315792371427315,-0.14488692653832247,0.9994846138022001
iemocap,subtract,42,5,18,45.1,0.6068207870355489,0.5703111619998821,-0.2369227449869663,-0.2957243919881761,0.9998765061155545
