dataset,mode,seed,fold,kappa,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,c_aff_linear_mi_lb_bits,c_aff_linear_control_bits,c_aff_linear_entropy_bits,c_aff_mlp_mi_lb_bits,c_aff_mlp_control_bits,c_aff_mlp_entropy_bits,c_style_linear_mi_lb_bits,c_style_linear_control_bits,c_style_linear_entropy_bits,c_style_mlp_mi_lb_bits,c_style_mlp_control_bits,c_style_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits
ravdess,floor,43,1,8.0,30,13.8,0.271875,0.19435912646032166,0.2866666666666667,0.10800539286453636,-0.054346509104560514,2.3219280948873626,-0.053993775304456815,-0.035587068272657785,2.3219280948873626,0.4466262779360908,-0.10434521387969165,2.3219280948873626,0.07198603228928047,-0.07958036488999065,2.3219280948873626,0.9839994369455638,-1.0997275526370172,2.3219280948873626,0.3873250682301801,-0.33190290455297733,2.3219280948873626
ravdess,floor,43,1,16.0,15,5.1,0.178125,0.0914677623261694,0.19,0.6848716806128898,-0.06400287182859454,2.3219280948873626,0.20968510517452987,-0.0644814821076074,2.3219280948873626,0.9160211941627507,-0.058230066313550655,2.3219280948873626,0.4695747046832053,-0.07994981077224717,2.3219280948873626,1.2912715760487607,-0.7575409555907604,2.3219280948873626,0.7351599003122549,-0.40357279298592896,2.3219280948873626
ravdess,floor,43,2,0.0,20,7.4,0.2875,0.26235285572895084,0.3,0.22900393489076176,-0.04442004971508373,2.3219280948873626,0.1089488807128145,-0.05296755085466298,2.3219280948873626,1.0814095562521124,0.008374549148387977,2.3219280948873626,0.5011240721017776,0.0027116786011815996,2.3219280948873626,1.6119001042771592,-0.6151099391496797,2.3219280948873626,1.2782894169967345,-0.20756008234115209,2.3219280948873626
ravdess,floor,43,2,0.5,28,13.4,0.346875,0.3432065126426162,0.36666666666666664,0.2295183228736426,-0.02646919442578355,2.3219280948873626,0.026753604421427823,-0.045369411645856506,2.3219280948873626,0.9677621916296593,-0.03427055924958866,2.3219280948873626,0.811277911125619,-0.051919707704294105,2.3219280948873626,1.5892688819509315,-0.7084229386259002,2.3219280948873626,1.1590820223052871,-0.17486878982125686,2.3219280948873626
ravdess,floor,43,2,1.0,21,9.5,0.31875,0.2807721065813677,0.3333333333333333,0.30281816963660146,-0.027147397888849678,2.3219280948873626,0.05251629254804824,-0.04076065187482003,2.3219280948873626,0.35125446919264713,-0.014003816894705423,2.3219280948873626,0.2787621807400913,-0.017436240778851086,2.3219280948873626,1.5079466091606402,-1.0916467203294715,2.3219280948873626,0.8146843602998237,-0.3633823378206973,2.3219280948873626
ravdess,floor,43,2,2.0,15,9.1,0.28125,0.2323199752657122,0.29333333333333333,0.19546514288149686,-0.006564431102960899,2.3219280948873626,-0.019165761778971113,-0.06317419602215191,2.3219280948873626,0.46034779324063857,-0.014145542117088183,2.3219280948873626,0.25605983855357284,-0.04041384354651312,2.3219280948873626,1.501583607280872,-0.910997346495777,2.3219280948873626,0.7653034760392556,-0.23986757508511314,2.3219280948873626
ravdess,floor,43,2,4.0,22,11.3,0.253125,0.21501888417575507,0.26666666666666666,0.1923530612700839,-0.013645120056925641,2.3219280948873626,-0.0748401899252733,-0.017476216998455918,2.3219280948873626,0.7384478983973042,-0.0297330657953081,2.3219280948873626,0.3112514684658545,-0.02551271026196167,2.3219280948873626,1.4695231383388903,-0.6349759998481117,2.3219280948873626,0.8736300173399718,-0.15623851380595966,2.3219280948873626
ravdess,floor,43,2,8.0,40,14.5,0.246875,0.1984711013396045,0.2633333333333333,0.2602669949671399,-0.030615443883912796,2.3219280948873626,-0.07151341373544362,-0.037684582228940666,2.3219280948873626,0.8030250227115701,-0.052108083638185754,2.3219280948873626,0.4500904285941698,-0.0539798926365509,2.3219280948873626,1.4587953589385445,-1.0910620475327404,2.3219280948873626,0.8688651855154415,-0.30975797279284256,2.3219280948873626
ravdess,floor,43,2,16.0,26,12.9,0.24375,0.17422257958851303,0.25333333333333335,0.46553866907394625,-0.031645443636938886,2.3219280948873626,-0.06642553739933943,-0.04453143683101235,2.3219280948873626,0.9341440829812937,-0.07273436901962915,2.3219280948873626,0.5769856075836646,-0.07170031105171626,2.3219280948873626,1.7774231862936174,-0.42668125664608825,2.3219280948873626,1.3153645678539816,-0.17199452458983622,2.3219280948873626
ravdess,floor,43,3,0.0,38,9.8,0.35,0.3159177018437235,0.36,0.30944951518432084,-0.03588738010409953,2.3219280948873626,0.04257567668029516,-0.041266895909565005,2.3219280948873626,1.3284456350125486,-0.03945910080701731,2.3219280948873626,0.7364283870061701,-0.046808468772080225,2.3219280948873626,1.7455928659927509,-0.6393250484332982,2.3219280948873626,1.2494629443891692,-0.19020395710228621,2.3219280948873626
ravdess,floor,43,3,0.5,30,12.4,0.34062499999999996,0.3038239881275093,0.35,0.10606973665640229,-0.03892608012506482,2.3219280948873626,-0.019730674543972704,-0.05420064683473402,2.3219280948873626,1.1981552878596795,-0.03526574207602051,2.3219280948873626,0.699758423594318,-0.055630335935662245,2.3219280948873626,1.7493407286758313,-0.962204725878832,2.3219280948873626,1.431663724658616,-0.3455761298594271,2.3219280948873626
ravdess,floor,43,3,1.0,39,14.1,0.325,0.29287876602476676,0.33666666666666667,0.1466015081542804,-0.04326400982363987,2.3219280948873626,-0.03175645843112518,-0.03633051811572274,2.3219280948873626,0.17459391836541904,-0.015571552848544279,2.3219280948873626,0.09827395554767726,-0.03860143966342067,2.3219280948873626,1.2433588861972384,-0.857066130209581,2.3219280948873626,0.730334595741821,-0.2706780378201823,2.3219280948873626
ravdess,floor,43,3,2.0,28,13.2,0.3375,0.31559657235397576,0.3466666666666667,0.09892409413630965,-0.04018014290617655,2.3219280948873626,-0.03758932874830556,-0.035588089514967614,2.3219280948873626,0.5468833198149499,-0.032972262902688065,2.3219280948873626,0.14869027013149116,-0.03798088970952396,2.3219280948873626,1.4648478086520986,-1.104291891756652,2.3219280948873626,0.7580322893094085,-0.22773874745868428,2.3219280948873626
ravdess,floor,43,3,4.0,28,12.0,0.325,0.28193936034584555,0.3333333333333333,0.1167586052959706,-0.03188291485450101,2.3219280948873626,-0.027708003290934702,-0.04006743752534048,2.3219280948873626,0.5819012203058687,-0.051638883361664334,2.3219280948873626,0.283398200353405,-0.03458512238304312,2.3219280948873626,1.2451974874504754,-0.7884140082781532,2.3219280948873626,0.5958648037118561,-0.2498040836544928,2.3219280948873626
