dataset,mode,seed,fold,kappa,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,c_aff_linear_mi_lb_bits,c_aff_linear_control_bits,c_aff_linear_entropy_bits,c_aff_mlp_mi_lb_bits,c_aff_mlp_control_bits,c_aff_mlp_entropy_bits,c_style_linear_mi_lb_bits,c_style_linear_control_bits,c_style_linear_entropy_bits,c_style_mlp_mi_lb_bits,c_style_mlp_control_bits,c_style_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits
cremad,floor,42,5,1.0,32,73.6,0.516887488804472,0.5114030772997912,0.5149659863945578,0.3359136014105055,-0.025025356225791384,4.169716095873848,0.2555630065550445,-0.03329128255517322,4.169716095873848,1.8876392674449018,-0.038048626874187974,4.169716095873848,1.7957947028413135,-0.03876880857302467,4.169716095873848,1.7913546763762684,-1.9511871378609476,4.169716095873848,1.9587543944285173,-0.2655423156347503,4.169716095873848
cremad,floor,42,5,2.0,32,73.4,0.516223478180302,0.510692978632372,0.5142857142857142,0.3560956491098235,-0.020293298849466623,4.169716095873848,0.27764494530429573,-0.03824716602471323,4.169716095873848,1.2933341121353839,-0.02373750259319607,4.169716095873848,1.2317828489376832,-0.028569126799335542,4.169716095873848,1.2178408620998344,-1.6973260457556583,4.169716095873848,1.638262875726415,-0.3187036213427552,4.169716095873848
cremad,floor,42,5,4.0,14,44.5,0.4490379567003305,0.4300794611166288,0.44761904761904764,0.3037903754048128,-0.029392028194145325,4.169716095873848,0.20719604419320614,-0.03190630180823817,4.169716095873848,0.41647465795590755,-0.05666786789758049,4.169716095873848,0.3864683114360554,-0.060457979992635025,4.169716095873848,0.5569596493786046,-1.7414608427175766,4.169716095873848,0.618493385773057,-0.532528505369978,4.169716095873848
cremad,floor,42,5,8.0,34,74.9,0.4598875814571173,0.44266571873026667,0.45782312925170066,0.2521574469068102,-0.029369119669149235,4.169716095873848,0.18384944623538413,-0.023536402121924205,4.169716095873848,0.12371568226668117,-0.053256632657289416,4.169716095873848,0.10352250422599063,-0.04243050125684977,4.169716095873848,0.4960782653784088,-1.9314507060489055,4.169716095873848,0.9128905616791876,-0.35999205592061045,4.169716095873848
cremad,floor,42,5,16.0,20,54.6,0.3763303375644708,0.30563999244164447,0.3727891156462585,0.32714913445998217,-0.03719507820037027,4.169716095873848,0.25754178346554246,-0.023320669341438283,4.169716095873848,0.325449380129867,-0.052872590770713934,4.169716095873848,0.32465985936812736,-0.04300209960408008,4.169716095873848,0.7492158532711359,-1.7469662657813467,4.169716095873848,0.8850191415112691,-0.4606134719839252,4.169716095873848
cremad,floor,43,1,0.0,34,55.2,0.5536816578483245,0.541518928094153,0.5501355013550135,0.3136671981657084,-0.03245300634623405,4.169925001442313,0.24981516694229455,-0.03436959620925606,4.169925001442313,1.9434794376420164,-0.05266831153580753,4.169925001442313,1.848249852550285,-0.039899333851669105,4.169925001442313,1.9856206490510422,-1.701315414663659,4.169925001442313,2.1944346903067924,-0.2263841665008286,4.169925001442313
cremad,floor,43,1,0.5,36,72.3,0.5798059964726631,0.5692799361675858,0.575880758807588,0.26867910324041633,-0.02966910143700474,4.169925001442313,0.214129567360541,-0.0365194551532122,4.169925001442313,1.8734451861456827,-0.05298011464857133,4.169925001442313,1.8140288599698153,-0.05312543040659001,4.169925001442313,1.9664167980118408,-1.9420680555112222,4.169925001442313,2.182008849173762,-0.32153987609664725,4.169925001442313
cremad,floor,43,1,1.0,37,75.2,0.5675705467372133,0.5545185722852753,0.5636856368563685,0.21830258234104205,-0.03437811636552013,4.169925001442313,0.14876644902246738,-0.027113341463535612,4.169925001442313,1.5442792935238119,-0.035915608909288466,4.169925001442313,1.4987849671417193,-0.026094266971825597,4.169925001442313,1.4865472611316104,-1.9387773482654982,4.169925001442313,1.8078347730948292,-0.22994091335167788,4.169925001442313
cremad,floor,43,1,2.0,34,71.7,0.5547839506172839,0.546625433902549,0.5521680216802168,0.22519323974074856,-0.03455550799002527,4.169925001442313,0.19799371873987193,-0.03628888608107683,4.169925001442313,1.5069930704541092,-0.03556154091328789,4.169925001442313,1.3600134301709277,-0.027920079388814578,4.169925001442313,1.4820506397234139,-2.007660501429905,4.169925001442313,1.8205949252062372,-0.2965114209392876,4.169925001442313
cremad,floor,43,1,4.0,35,71.4,0.5236992945326279,0.5069708847751649,0.5196476964769647,0.12828726791351563,-0.03553758520098249,4.169925001442313,0.1415331899071237,-0.03935541502125872,4.169925001442313,0.3527888670995427,-0.01928405464735139,4.169925001442313,0.2974648351975637,-0.029172086326185287,4.169925001442313,0.1683229471887815,-2.568958516566239,4.169925001442313,0.6706071284992245,-0.32346569195464614,4.169925001442313
cremad,floor,43,1,8.0,16,47.0,0.47541887125220467,0.43730265942569396,0.4695121951219512,0.22893853556272514,-0.030058396420169053,4.169925001442313,0.18503044237962873,-0.03228985776418991,4.169925001442313,0.25852340978546584,-0.06141218130200432,4.169925001442313,0.2491319262492837,-0.037454753073609126,4.169925001442313,0.3501397689307275,-1.7825655566943013,4.169925001442313,0.7213134433389032,-0.3107588317439278,4.169925001442313
cremad,floor,43,1,16.0,26,65.6,0.45789241622574955,0.42298583454304195,0.4546070460704607,0.17684105070988876,-0.03870332239020957,4.169925001442313,0.1837583803506342,-0.036302030618707626,4.169925001442313,0.09956855735147219,-0.01837047044880613,4.169925001442313,0.03657884197369654,-0.03511099034195908,4.169925001442313,0.20924124434881097,-2.1890291626908978,4.169925001442313,0.8109846371680263,-0.45500628229584716,4.169925001442313
